Description#String code#English#French
Language code (ISO 639-1)#%lang-code#en#fr
#%header-printurl#http://geoappext.nrcan.gc.ca/arcgis/rest/services/Utilities/PrintingTools/GPServer/Export%20Web%20Map%20Task#http://geoappext.nrcan.gc.ca/arcgis/rest/services/Utilities/PrintingTools/GPServer/Export%20Web%20Map%20Task
#%help-instr#Keyboard user: setup your keyboard to control the mouse to access the following PDF document.#Utilisateur du clavier: configurez votre clavier pour contrôler la souris et accéder au document PDF ci-dessous.
#%toolbarholder-caption#Toolbars#Barre d'outils
#%toolbardraw-name#Draw#Dessiner
#%toolbardraw-insinputbox#Click OK to place the text on the map or click Cancel to abort.#Cliquez sur OK pour placer le texte sur la carte ou cliquez sur Annuler pour abandonner.
#%toolbardraw-inputbox-name#Add text#Ajouter du texte
#%toolbardraw-inputbox-label#Enter a value: #Entrez une valeur: 
#%toolbardraw-tpcolorblack#Select black color#Sélectionner la couleur noire
#%toolbardraw-tpcolorred#Select red color#Sélectionner la couleur rouge
#%toolbardraw-tpcolorgreen#Select green color#Sélectionner la couleur vert
#%toolbardraw-tpcolorblue#Select blue color#Sélectionner la couleur bleu
#%toolbardraw-tpcoloryellow#Select yellow color#Sélectionner la couleur jaune
#%toolbardraw-tpcolorwhite#Select white color#Sélectionner la couleur blanche
#%toolbardraw-tpdraw#Draw on the map#Dessiner sur la carte
#%toolbardraw-tptext#Add text on the map#Ajouter du texte sur la carte
#%toolbardraw-tpmeasurearea#Measure an area on the map#Mesurer une surface sur la carte
#%toolbardraw-tpmeasurelength#Measure a length on the map#Mesurer une longueur sur la carte
#%toolbardraw-tperase#Erase annotations#Effacer les annotations
#%toolbardraw-tperasesel#Erase selected annotations#Effacer les annotations sélectionnées
#%toolbardraw-tpundo#Undo last operation#Annuler la dèrniere opération
#%toolbardraw-tpredo#Redo last operation#Refaire la dèrniere opération
#%toolbardraw-tpimport#Import annotations#Importer des annotations
#%toolbardraw-tpexport#Export annotations#Exporter des annotations
#%toolbardraw-dist#Length: #Longueur: 
#%toolbardraw-area#Area: #Aire: 
#%toolbarlegend-name#Legend#Légende
#%toolbarlegend-tgvis#Toggle Visibility#Basculer la visibilité
#%toolbarnav-geoloclabel#Zoom to:#Zoom à:
#%toolbarnav-geolocsample#Prov./City name/...#Prov./Nom de ville/...
#%toolbarnav-info#Map location information#Information de localisation sur la carte
#%toolbarnav-infoaltitude#ALTITUDE#ALTITUDE
#%toolbarnav-infoaltitudeurl#http://geogratis.gc.ca/services/elevation/cdem/altitude?#http://geogratis.gc.ca/services/elevation/cdem/altitude?
#%toolbarnav-infoclickmap#Click on map#Cliquez sur la carte
#%toolbarnav-infodecdeg#Degrees Decimal#Degrés décimaux
#%toolbarnav-infodms#Degrees Minutes Seconds (DMS)#Degrés minutes secondes (DMS)
#%toolbarnav-infogetinfo#Get information#Obtenez de l'information
#%toolbarnav-infogetlocinfo#Location:#Emplacement :
#%toolbarnav-infolat#Latitude:#Latitude :
#%toolbarnav-infolong#Longitude:#Longitude :
#%toolbarnav-infonts#NTS MAPSHEET#CARTE DU SNRC
#%toolbarnav-infopption1#Option 1 - Select a point on the map#Option 1 - Sélectionnez un point sur ​​la carte
#%toolbarnav-infopption2#Option 2 - Get information using coordinates#Option 2 - Obtenir des informations en utilisant des coordonnées
#%toolbarnav-inforesults#Information Results#Information - résultats
#%toolbarnav-infotopocoord#TOPOGRAPHIC COORDINATES#COORDONNÉES TOPOGRAPHIQUES
#%toolbarnav-infoutm#UTM COORDINATES#COORDONNÉES UTM
#%toolbarnav-infoutmeast#Easting:#Abscisse :
#%toolbarnav-infoutmnorth#Northing:#Ordonnée :
#%toolbarnav-infoutmz#Zone: #Zone : 
#%toolbarnav-inskeyboard#When entering a geographic location	suggested names will appear in the auto-fill list below the text entry box.  Suggestions will start appearing after you type 3 characters.#Lorsque vous spécifiez un lieu géographique	des suggestions apparaissent dans la liste d'auto-remplissage en dessous de la zone de texte. Les suggestions commenceront à apparaître après avoir tapé 3 caractères.
#%toolbarnav-magnify#Magnify part of the map#Agrandir une partie de la carte
#%toolbarnav-ovdrag#Drag To Change The Map Extent#Faites glisser pour changer l'étendue de la carte
#%toolbarnav-scale#Scale: #Échelle : 
#%toolbarnav-zoomfull#Zoom to full extent#Zoom à l`étendue maximum
#%toolbardata-name#Data#Données
#%toolbardata-tpadd#Import Data#Importer des données
#%toolbardata-tpdelete#Remove Data#Enlever des données
#%toolbardata-errtitle#Add Data Error#Erreur dans l'ajout des données
#%toolbardata-err1#There must be a field (latitude, lat, y or ycenter) for y coordinnates and a field (longitude, long, x or xcenter) for x coordinnates.#Il doit y avoir un champ (latitude, lat, y ou ycenter) pour les coordonnées y et un champ (longitude, longue, x ou xcenter) pour les coordonnées x.
#%toolbardata-err2#Unable to determine the separator.#Incapable de déterminer le separateur.
#%toolbardata-err3#Error fetching items from CSV store: #Erreur de récupération des items du fichier CSV: 
#%toolbardata-ie9#This tool is not available in Internet Explorer 9. You need version 10 or another browser (Chrome, FireFox or Safari).#Cet outil n'est pas disponible dans Internet Explorer 9. Vous devez avoir la version 10 ou un autre navigateur (Chrome, Firefox ou Safari).
#%inset-tplight#Open the content in a lightbox#Ouvrir le contenu dans un lightbox
#%inset-tpplayvideo#Play video#Jouer la vidéo
#%mp-close#Close (Esc)#Fermer (Esc)
#%mp-load#Loading...#Chargement...
#%mp-next#Previous (Left arrow key)#Precédent (touche flèche gauche)
#%mp-prev#Next (Right arrow key)#Suivant (touche flèche droite)
#%mp-count#%curr% of %total%#%curr% de %total%
#%mp-error#<a href='%url%'>The image</a> could not be loaded.#<a href='%url%'>L'image</a> ne peut être chargée.
